Codigo;Tipo;Externo;Interno;Altura
AG8352;GUIA;;;
AG8361;GUIA;23.0;5.0;1.5
AG8391;GUIA;85.0;19.2;3.25
AG8398;GUIA;83.0;15.0;1.5
AG8417;GUIA;5.1;;
AG8418;GUIA;103.0;15.0;1.5
AG8419;GUIA;141.3;9.5;3.17
AG8428;GUIA;;;
AG8433;GUIA;43.0;16.0;1.5
AG8437;GUIA;31.75;9.5;1.58
AG8454;GUIA;28.0;10.0;1.5
AG8482;GUIA;50.0;15.0;3.0
AG8493;GUIA;50.0;7.0;2.5
AG8499;GUIA;46.09;19.05;2.4
AG8505;GUIA;105.0;15.0;3.0
AG8520;GUIA;90.0;6.0;2.5
AG8524;GUIA;2.1;;
AX0004;GUIA;114.3;10.0;3.4
AX0035;GUIA;100.0;28.5;3.3
AX0038;GUIA;90.0;12.5;4.5
AX0044;GUIA;90.0;12.5;3.0
AX0081;GUIA;5.1;;
AX0095;GUIA;222.25;12.7;3.18
AX0107;GUIA;90.0;8.0;3.0
AX0124;GUIA;85.0;5.0;2.5
AX0125;GUIA;120.0;27.2;3.0
AX0133;GUIA;3.0;1.0;
AX0144;GUIA;60.0;25.0;1.5
AX0190;GUIA;127.0;5.6;2.5
AX0238;GUIA;241.0;20.0;2.5
AX0244;GUIA;90.0;10.0;3.0
AX0249;GUIA;106.0;20.0;2.5
AX0265;GUIA;135.0;15.0;2.5
AX0282;GUIA;145.0;10.0;3.5
AX0302;GUIA;94.0;12.5;3.0
AX0303;GUIA;113.0;12.5;3.0
AX0304;GUIA;132.0;12.5;3.0
AX0305;GUIA;151.0;12.5;3.0
AX0306;GUIA;171.0;19.0;3.0
AX0307;GUIA;111.0;22.0;2.0
AX0308;GUIA;130.0;22.0;2.0
AX0309;GUIA;149.0;22.0;2.0
AX0310;GUIA;171.0;22.0;3.0
AX0311;GUIA;191.0;19.0;3.0
AX0312;GUIA;191.0;22.0;3.0
AX0313;GUIA;215.0;19.0;3.0
AX0314;GUIA;91.0;22.0;1.5
AX0316;GUIA;170.0;25.0;4.0
AX0317;GUIA;216.0;22.0;3.0
AX0329;GUIA;3.1;;
AX0344;GUIA;95.0;9.5;3.0
W1-0875-375;GUIA;2.0;;
W1-1000-500;GUIA;2.0;;
W1-1150-500;GUIA;25.4;29.2;12.7
W1-1250-500;GUIA;1.1;2.0;
W1-1375-375;GUIA;1.3;2.0;
W1-1400-500;GUIA;1.13;2.0;
W1-1500-500;GUIA;1.1;2.0;
W1-1625-500;GUIA;1.5;2.0;
W1-1650-375;GUIA;41.9;9.5;2.0
W1-1650-500;GUIA;41.9;12.7;2.0
W2-1250-500;GUIA;1.1;;
W2-1375-250;GUIA;1.3;;
W2-1375-625;GUIA;1.3;;
W2-1500-1000;GUIA;1.1;;
W2-1500-187;GUIA;1.1;;
W2-1500-375;GUIA;1.1;;
W2-1500-500;GUIA;1.1;;
W2-1625-375;GUIA;1.3;1.5;
W2-1625-500;GUIA;1.5;;
W2-1750-1000;GUIA;1.3;;
W2-1750-187;GUIA;3.0;1.0;
W2-1750-375;GUIA;1.3;;
W2-1750-500;GUIA;1.3;;
W2-1875-375;GUIA;1.7;;
W2-1875-500;GUIA;1.7;;
W2-2000-1000;GUIA;1.0;1.0;
W2-2000-375;GUIA;3.0;1.0;
W2-2000-500;GUIA;1.0;1.0;
W2-2000-625;GUIA;5.0;1.0;
W2-2000-750;GUIA;3.0;1.0;
W2-2125-750;GUIA;2.1;;
W2-2250-1000;GUIA;2.1;;
W2-2250-250;GUIA;2.1;;
W2-2250-375;GUIA;2.1;;
W2-2250-500;GUIA;2.1;;
W2-2250-750;GUIA;2.1;;
W2-2250-875;GUIA;2.1;;
W2-2437-375;GUIA;2.7;;
W2-2437-750;GUIA;2.7;;
W2-2500-1000;GUIA;2.1;;
W2-2500-187;GUIA;2.1;;
W2-2500-250;GUIA;2.1;;
W2-2500-312;GUIA;2.1;;
W2-2500-375;GUIA;2.1;;
W2-2500-437;GUIA;2.1;;
W2-2500-500;GUIA;2.1;;
W2-2500-625;GUIA;2.1;;
W2-2500-750;GUIA;2.1;;
W2-2625-1000;GUIA;2.5;;
W2-2750-1000;GUIA;2.3;;
W2-2750-1750;GUIA;2.3;1.3;
W2-2750-250;GUIA;2.3;;
W2-2750-312;GUIA;2.1;;
W2-2750-375;GUIA;2.3;;
W2-2750-500;GUIA;2.3;;
W2-2875-500;GUIA;2.7;;
W2-2875-875;GUIA;2.7;;
W2-3000-1000;GUIA;1.0;1.0;
W2-3000-375;GUIA;3.0;1.0;
W2-3000-437;GUIA;7.0;1.0;
W2-3000-500;GUIA;1.0;1.0;
W2-3000-625;GUIA;5.0;1.0;
W2-3000-750;GUIA;3.0;1.0;
